switch,inport,outport,src[eth],src_mac_addr(arp),dst[eth],dst_mac_addr(arp),src[arp],dst[arp],opcode,packet_in_count,Protocol,Pkt loss,rtt (avg),total_time,label,pkt_size
4,3,4294967291,00:40:e0:5d:f2:30,00:62:35:d7:61:6c,ff:ff:ff:ff:ff:ff,00:a8:ee:fb:db:0b,10.0.0.171,10.0.0.141,2,1240,1,8,60,121772,1,1373
8,10,4294967291,00:93:1a:07:4f:59,00:2d:c1:a9:36:bd,ff:ff:ff:ff:ff:ff,00:35:d7:79:05:d7,10.0.0.124,10.0.0.192,2,1794,1,6,1,195512,1,1073
3,7,4294967291,00:9f:e5:5c:f6:f7,00:64:c0:57:78:ea,ff:ff:ff:ff:ff:ff,00:b0:95:cb:ca:de,10.0.0.177,10.0.0.187,1,1440,0,3,48,284211,1,639
9,7,4294967291,00:42:5d:2f:42:6f,00:3e:30:34:0c:20,ff:ff:ff:ff:ff:ff,00:64:34:d8:95:ae,10.0.0.86,10.0.0.90,1,1051,0,5,92,139166,1,1201
3,1,4294967291,00:75:dd:c5:f7:d4,00:88:30:05:ef:13,ff:ff:ff:ff:ff:ff,00:0d:e0:22:7f:02,10.0.0.35,10.0.0.12,2,1469,1,7,52,241346,1,1397
10,2,4294967291,00:6e:25:78:20:4d,00:49:1b:8d:20:11,ff:ff:ff:ff:ff:ff,00:42:8e:d3:5c:e4,10.0.0.61,10.0.0.96,2,1653,0,6,31,120746,1,834
4,2,4294967291,00:63:7e:76:61:38,00:e5:6a:c2:7a:ce,ff:ff:ff:ff:ff:ff,00:42:90:28:86:10,10.0.0.117,10.0.0.112,2,1613,2,5,17,217708,1,1067
3,7,4294967291,00:42:a7:fa:1c:64,00:b1:47:a9:42:1d,ff:ff:ff:ff:ff:ff,00:4e:68:0e:46:63,10.0.0.196,10.0.0.65,1,1359,2,1,35,166854,1,782
5,1,4294967291,00:ee:99:d7:f0:1f,00:4c:5f:18:0f:63,ff:ff:ff:ff:ff:ff,00:75:43:0b:6e:10,10.0.0.125,10.0.0.102,2,1838,1,10,2,255889,1,917
1,5,4294967291,00:76:5b:a8:79:99,00:f7:3b:2b:55:a3,ff:ff:ff:ff:ff:ff,00:d9:1a:ec:d6:b1,10.0.0.146,10.0.0.192,1,1886,2,2,48,250045,1,678
7,8,4294967291,00:d4:2c:e9:17:ad,00:a3:cd:a8:e5:34,ff:ff:ff:ff:ff:ff,00:fc:cb:6e:fb:e2,10.0.0.30,10.0.0.156,2,1562,0,9,9,210680,1,1095
4,3,4294967291,00:87:b8:5c:7d:95,00:eb:fc:fd:bd:ac,ff:ff:ff:ff:ff:ff,00:2d:f3:38:ba:a2,10.0.0.65,10.0.0.22,2,1874,2,1,81,106054,1,1462
2,7,4294967291,00:23:7f:02:49:e4,00:9d:64:fb:28:6f,ff:ff:ff:ff:ff:ff,00:ea:91:8b:4c:21,10.0.0.230,10.0.0.54,1,1315,1,2,74,189575,1,570
1,3,4294967291,00:fe:cf:6d:46:26,00:32:7b:c5:4e:a8,ff:ff:ff:ff:ff:ff,00:9b:f8:fe:a2:6d,10.0.0.187,10.0.0.47,1,1355,0,5,67,188121,1,1285
5,7,4294967291,00:55:1d:60:8c:fc,00:09:c1:a4:9e:74,ff:ff:ff:ff:ff:ff,00:46:4b:04:f9:a2,10.0.0.31,10.0.0.248,2,1600,2,4,20,209390,1,922
5,5,4294967291,00:f6:84:3a:56:b9,00:0e:8d:6f:07:85,ff:ff:ff:ff:ff:ff,00:55:8f:cd:f2:12,10.0.0.129,10.0.0.186,1,1480,0,1,12,280813,1,1228
5,5,4294967291,00:6d:93:01:83:f9,00:1b:17:a2:27:0f,ff:ff:ff:ff:ff:ff,00:e0:88:bd:9c:7c,10.0.0.210,10.0.0.122,2,1676,2,5,13,145405,1,1024
2,8,4294967291,00:74:7b:76:6a:fb,00:c7:0f:13:e7:2d,ff:ff:ff:ff:ff:ff,00:7b:6e:ff:9a:e2,10.0.0.118,10.0.0.167,2,1652,1,0,80,294006,1,622
5,4,4294967291,00:f9:08:c4:15:81,00:91:06:f5:5e:6d,ff:ff:ff:ff:ff:ff,00:93:6e:b2:8c:8c,10.0.0.137,10.0.0.36,1,1071,0,6,57,186827,1,1259
5,5,4294967291,00:28:9a:fd:31:f7,00:3f:55:0f:d0:a2,ff:ff:ff:ff:ff:ff,00:7b:d4:0e:f0:58,10.0.0.148,10.0.0.119,2,1637,1,6,97,152168,1,902
2,4,4294967291,00:88:c9:a4:15:36,00:67:40:55:fe:60,ff:ff:ff:ff:ff:ff,00:07:c6:74:04:41,10.0.0.233,10.0.0.141,1,1515,1,5,60,101297,1,676
6,3,4294967291,00:82:1f:ef:10:35,00:c2:6d:4b:fd:9d,ff:ff:ff:ff:ff:ff,00:04:3d:e1:9b:7e,10.0.0.163,10.0.0.96,2,1952,1,8,80,284356,1,1255
4,7,4294967291,00:81:77:4c:07:e4,00:47:94:b7:11:4e,ff:ff:ff:ff:ff:ff,00:62:cf:bf:d1:d8,10.0.0.70,10.0.0.54,2,1390,1,9,88,171509,1,1262
4,4,4294967291,00:8a:a2:d7:f5:a9,00:f4:58:75:d6:6a,ff:ff:ff:ff:ff:ff,00:d6:8a:46:95:22,10.0.0.57,10.0.0.199,2,1446,2,3,40,138720,1,1042
1,8,4294967291,00:b8:d6:7c:8b:96,00:a5:12:d1:69:6a,ff:ff:ff:ff:ff:ff,00:84:c7:8e:70:a3,10.0.0.219,10.0.0.180,1,1463,0,0,1,139909,1,1002
1,6,4294967291,00:55:8d:63:66:95,00:e9:07:02:e1:95,ff:ff:ff:ff:ff:ff,00:cc:2f:54:33:3a,10.0.0.168,10.0.0.183,1,1248,0,0,31,108296,1,1055
1,7,4294967291,00:a1:45:fd:a6:b0,00:2c:9d:b7:04:45,ff:ff:ff:ff:ff:ff,00:a5:29:94:68:86,10.0.0.26,10.0.0.225,1,1067,2,9,38,294885,1,693
10,2,4294967291,00:c9:36:a8:9d:6b,00:87:0c:e1:cb:cf,ff:ff:ff:ff:ff:ff,00:d5:b7:6e:ab:03,10.0.0.109,10.0.0.150,1,1731,2,4,97,177194,1,640
2,3,4294967291,00:42:ad:ad:b3:96,00:10:08:9b:8c:24,ff:ff:ff:ff:ff:ff,00:41:9b:4d:20:28,10.0.0.136,10.0.0.213,1,1461,1,2,4,298535,1,1312
10,5,4294967291,00:22:f9:a1:be:a8,00:c7:65:ed:03:51,ff:ff:ff:ff:ff:ff,00:5a:4d:78:e9:7d,10.0.0.43,10.0.0.169,1,1193,0,1,45,120482,1,1354
6,4,4294967291,00:f6:8e:53:a0:46,00:6f:cd:3a:b4:36,ff:ff:ff:ff:ff:ff,00:66:9b:3e:3f:90,10.0.0.11,10.0.0.85,1,1221,1,2,58,104841,1,968
6,10,4294967291,00:fe:2a:be:6c:88,00:34:38:06:c6:0a,ff:ff:ff:ff:ff:ff,00:e0:f2:00:4e:fc,10.0.0.113,10.0.0.191,1,1814,0,10,16,231632,1,1033
2,8,4294967291,00:92:bc:99:b6:38,00:58:fc:9f:40:36,ff:ff:ff:ff:ff:ff,00:7e:61:25:9d:8d,10.0.0.130,10.0.0.151,1,1323,1,0,88,197346,1,837
7,5,4294967291,00:39:bf:b6:4e:5e,00:f4:45:23:28:f8,ff:ff:ff:ff:ff:ff,00:0f:0a:db:06:62,10.0.0.120,10.0.0.207,1,1155,2,2,85,220821,1,1441
9,4,4294967291,00:c1:82:20:e9:5d,00:0b:e5:d5:f6:70,ff:ff:ff:ff:ff:ff,00:c7:b8:16:9b:26,10.0.0.154,10.0.0.228,2,1056,0,0,23,128702,1,985
6,9,4294967291,00:5f:a5:1d:c0:f0,00:da:1b:a1:0f:ed,ff:ff:ff:ff:ff:ff,00:b3:a8:14:2b:53,10.0.0.56,10.0.0.61,2,1444,2,0,67,152984,1,1446
8,2,4294967291,00:66:45:45:77:a4,00:0f:b7:c8:f4:9d,ff:ff:ff:ff:ff:ff,00:10:8f:f9:05:69,10.0.0.149,10.0.0.125,2,1931,1,10,9,213195,1,1145
6,10,4294967291,00:ac:a7:95:26:eb,00:40:a2:bc:fb:21,ff:ff:ff:ff:ff:ff,00:dc:07:3c:fd:a9,10.0.0.127,10.0.0.149,2,1713,1,3,40,152518,1,1112
10,5,4294967291,00:40:09:45:f9:7d,00:7e:61:51:72:bb,ff:ff:ff:ff:ff:ff,00:ab:2d:0d:1f:36,10.0.0.13,10.0.0.130,2,1401,1,10,49,139694,1,712
2,9,4294967291,00:e8:b2:df:0e:e2,00:1b:48:4e:21:b4,ff:ff:ff:ff:ff:ff,00:87:90:bb:1d:ec,10.0.0.29,10.0.0.5,2,1525,1,3,39,236770,1,814
6,2,4294967291,00:80:46:a7:71:36,00:0c:39:c4:18:59,ff:ff:ff:ff:ff:ff,00:2a:4d:20:a7:d2,10.0.0.116,10.0.0.213,1,1283,0,7,19,247453,1,1020
5,2,4294967291,00:62:4c:56:e7:fb,00:73:4a:cc:30:f7,ff:ff:ff:ff:ff:ff,00:4c:cf:97:7a:7b,10.0.0.255,10.0.0.23,1,1820,2,7,66,224610,1,905
8,7,4294967291,00:b5:53:fa:e4:95,00:d8:5b:a5:62:c3,ff:ff:ff:ff:ff:ff,00:0a:bf:b0:2b:5e,10.0.0.228,10.0.0.24,2,1641,0,9,48,250876,1,888
8,10,4294967291,00:e7:91:f7:62:82,00:87:13:1f:62:3a,ff:ff:ff:ff:ff:ff,00:4a:2d:1f:b9:d7,10.0.0.229,10.0.0.102,1,1789,1,10,62,204250,1,714
4,6,4294967291,00:19:e4:1d:1c:ac,00:80:4c:8c:5e:f9,ff:ff:ff:ff:ff:ff,00:1f:cb:7b:b1:4e,10.0.0.168,10.0.0.246,2,1855,2,7,43,201193,1,823
5,4,4294967291,00:20:29:2c:1d:e0,00:7d:35:6e:23:14,ff:ff:ff:ff:ff:ff,00:16:f7:be:36:cd,10.0.0.157,10.0.0.145,2,1253,2,1,92,146410,1,758
9,9,4294967291,00:58:3a:d5:8d:f0,00:54:fc:40:bb:37,ff:ff:ff:ff:ff:ff,00:45:00:a2:28:ac,10.0.0.92,10.0.0.67,1,1873,0,6,89,144205,1,1471
1,1,4294967291,00:b8:e4:c4:76:26,00:80:fb:40:c7:db,ff:ff:ff:ff:ff:ff,00:7f:75:0b:13:6b,10.0.0.67,10.0.0.232,2,1083,2,10,48,208007,1,844
7,10,4294967291,00:4f:34:6f:a7:d9,00:c7:bb:e1:36:fb,ff:ff:ff:ff:ff:ff,00:83:bc:ff:c7:4c,10.0.0.72,10.0.0.178,1,1683,0,10,37,298749,1,657
4,4,4294967291,00:ec:d0:5f:78:66,00:b9:e6:d5:19:13,ff:ff:ff:ff:ff:ff,00:b9:c6:2d:bb:dc,10.0.0.204,10.0.0.66,2,1326,0,10,43,265750,1,967
4,5,4294967291,00:d8:9a:0f:99:10,00:17:18:57:de:7b,ff:ff:ff:ff:ff:ff,00:87:9d:74:48:d0,10.0.0.222,10.0.0.91,1,1089,1,10,100,213234,1,719
9,5,4294967291,00:30:12:53:8b:98,00:42:8b:a6:04:a4,ff:ff:ff:ff:ff:ff,00:d2:3a:21:2a:ad,10.0.0.174,10.0.0.110,2,1632,1,10,14,113296,1,796
4,2,4294967291,00:ca:6a:8e:b9:bd,00:01:6f:05:fb:be,ff:ff:ff:ff:ff:ff,00:36:f5:8f:07:92,10.0.0.75,10.0.0.109,1,1929,1,1,17,206686,1,766
10,9,4294967291,00:b3:28:c8:77:33,00:89:be:0a:51:50,ff:ff:ff:ff:ff:ff,00:5b:74:73:bc:18,10.0.0.243,10.0.0.136,1,1734,2,4,72,260100,1,906
9,8,4294967291,00:1e:21:48:7a:0b,00:ca:98:db:52:e0,ff:ff:ff:ff:ff:ff,00:58:17:96:9c:7f,10.0.0.49,10.0.0.245,2,1003,2,4,63,154265,1,727
2,4,4294967291,00:cc:f4:e0:4b:a3,00:54:95:89:93:e9,ff:ff:ff:ff:ff:ff,00:7d:d6:54:3e:e4,10.0.0.169,10.0.0.208,2,1208,1,2,4,180758,1,757
4,4,4294967291,00:5b:1f:69:1e:4c,00:2f:c6:e3:9d:60,ff:ff:ff:ff:ff:ff,00:4d:5f:8b:88:b4,10.0.0.235,10.0.0.237,2,1312,1,8,78,188381,1,706
10,2,4294967291,00:fd:c9:3d:4c:a0,00:7d:31:92:e0:17,ff:ff:ff:ff:ff:ff,00:e8:67:12:87:a0,10.0.0.229,10.0.0.125,2,1281,0,1,82,197337,1,878
3,3,4294967291,00:85:21:b0:ee:c8,00:d8:18:86:3f:c5,ff:ff:ff:ff:ff:ff,00:66:f2:86:64:47,10.0.0.208,10.0.0.162,1,1014,2,9,60,110149,1,1274
4,7,4294967291,00:47:8c:15:e0:72,00:9b:6b:c0:b5:7a,ff:ff:ff:ff:ff:ff,00:57:9f:3d:15:64,10.0.0.4,10.0.0.16,2,1372,1,4,72,288982,1,1339
6,3,4294967291,00:22:dd:ea:1e:9c,00:f3:51:69:91:e5,ff:ff:ff:ff:ff:ff,00:a2:7e:4d:e5:cd,10.0.0.155,10.0.0.160,1,1977,0,4,79,293243,1,973
5,5,4294967291,00:ce:eb:de:60:9e,00:30:25:15:60:e2,ff:ff:ff:ff:ff:ff,00:6b:1c:0f:04:3c,10.0.0.164,10.0.0.77,1,1801,0,4,34,219549,1,682
1,5,4294967291,00:5a:62:12:0f:85,00:c9:b1:49:2f:5d,ff:ff:ff:ff:ff:ff,00:b0:e9:30:72:45,10.0.0.89,10.0.0.12,2,1586,0,0,3,198282,1,933
10,5,4294967291,00:7e:4e:17:e3:87,00:b7:01:b3:bc:4b,ff:ff:ff:ff:ff:ff,00:a4:66:da:0e:43,10.0.0.98,10.0.0.243,2,1615,2,2,82,286053,1,570
2,3,4294967291,00:69:54:b0:5a:7a,00:ae:17:1d:65:61,ff:ff:ff:ff:ff:ff,00:38:c7:c1:36:62,10.0.0.178,10.0.0.196,1,1769,0,0,16,175601,1,1124
3,4,4294967291,00:e2:71:2e:32:e1,00:3a:44:a4:da:e3,ff:ff:ff:ff:ff:ff,00:bc:9d:4c:16:46,10.0.0.115,10.0.0.125,1,1665,1,0,37,130159,1,940
6,10,4294967291,00:c8:1d:78:ae:ff,00:e0:de:85:bb:e8,ff:ff:ff:ff:ff:ff,00:ca:f6:44:e4:1e,10.0.0.204,10.0.0.70,2,1969,2,4,45,283777,1,992
9,5,4294967291,00:ea:1d:22:ba:99,00:1e:40:a2:06:06,ff:ff:ff:ff:ff:ff,00:8c:19:1b:dd:ce,10.0.0.200,10.0.0.228,1,1504,0,8,12,186979,1,779
7,6,4294967291,00:ac:0d:4b:f8:0b,00:c2:a1:2c:75:ee,ff:ff:ff:ff:ff:ff,00:1e:00:c2:de:ed,10.0.0.144,10.0.0.220,1,1793,2,5,10,140777,1,999
10,6,4294967291,00:5b:00:43:12:d4,00:cb:c2:3f:46:1f,ff:ff:ff:ff:ff:ff,00:57:d1:4c:f6:17,10.0.0.232,10.0.0.93,1,1196,1,6,68,227403,1,1364
6,6,4294967291,00:d2:f1:e2:6b:d5,00:8c:3c:16:8b:75,ff:ff:ff:ff:ff:ff,00:93:a2:a0:ec:ad,10.0.0.43,10.0.0.216,1,1246,2,2,56,256614,1,1348
8,9,4294967291,00:b4:6f:38:a3:31,00:aa:5b:e8:dc:f0,ff:ff:ff:ff:ff:ff,00:0b:69:75:7d:60,10.0.0.69,10.0.0.34,2,1521,2,4,59,178217,1,1012
4,1,4294967291,00:98:a1:6d:32:d8,00:c0:a5:f0:93:fc,ff:ff:ff:ff:ff:ff,00:90:46:e0:c8:2a,10.0.0.30,10.0.0.210,2,1813,0,9,12,190969,1,956
2,2,4294967291,00:9e:98:dd:f5:9f,00:b2:62:6b:7b:52,ff:ff:ff:ff:ff:ff,00:be:3d:66:0e:3f,10.0.0.229,10.0.0.229,1,1923,1,2,13,269194,1,1252
4,9,4294967291,00:d9:e7:6e:f8:0f,00:f7:1d:97:b2:b1,ff:ff:ff:ff:ff:ff,00:48:df:35:3d:5f,10.0.0.101,10.0.0.252,1,1099,2,1,58,136342,1,1412
4,6,4294967291,00:7a:f6:f9:09:74,00:6d:87:4c:f8:e8,ff:ff:ff:ff:ff:ff,00:0f:64:08:0a:0b,10.0.0.42,10.0.0.232,2,1340,1,9,3,236637,1,916
10,9,4294967291,00:f0:4f:f4:82:3f,00:02:50:5e:50:7d,ff:ff:ff:ff:ff:ff,00:b3:c9:bf:9d:3e,10.0.0.97,10.0.0.173,1,1664,0,9,1,271314,1,642
3,5,4294967291,00:b8:92:eb:42:67,00:65:a9:75:9b:06,ff:ff:ff:ff:ff:ff,00:86:43:6f:67:ee,10.0.0.133,10.0.0.255,2,1562,0,5,49,104356,1,861
2,7,4294967291,00:35:14:c5:94:15,00:a1:44:b6:80:6b,ff:ff:ff:ff:ff:ff,00:9f:4c:22:de:6d,10.0.0.238,10.0.0.17,2,1312,2,9,48,264350,1,1447
2,1,4294967291,00:78:b1:fa:18:6f,00:fa:6f:4f:79:89,ff:ff:ff:ff:ff:ff,00:5a:9b:9a:12:55,10.0.0.10,10.0.0.11,2,1052,2,7,11,232276,1,1007
3,10,4294967291,00:d2:f7:b3:e1:c1,00:be:36:8b:00:4a,ff:ff:ff:ff:ff:ff,00:49:f9:4e:dc:2b,10.0.0.204,10.0.0.23,2,1658,1,9,98,117330,1,783
4,9,4294967291,00:c6:8f:02:e0:26,00:7d:85:09:0b:5a,ff:ff:ff:ff:ff:ff,00:ad:87:39:0a:a0,10.0.0.62,10.0.0.21,2,1659,2,0,18,138208,1,1073
4,2,4294967291,00:44:0d:62:b0:ad,00:a1:49:a8:51:c7,ff:ff:ff:ff:ff:ff,00:39:f1:68:8f:7d,10.0.0.85,10.0.0.153,1,1192,2,9,17,152080,1,1235
6,6,4294967291,00:9e:1b:f3:54:fb,00:6e:b7:87:10:d5,ff:ff:ff:ff:ff:ff,00:3a:29:3f:37:a3,10.0.0.55,10.0.0.90,1,1217,1,2,68,123752,1,1466
3,2,4294967291,00:bc:31:00:ad:18,00:e4:49:3f:b3:76,ff:ff:ff:ff:ff:ff,00:84:1a:14:e7:7f,10.0.0.58,10.0.0.3,2,1584,1,3,96,254037,1,814
7,2,4294967291,00:f4:34:05:21:8e,00:1c:cd:a2:03:4c,ff:ff:ff:ff:ff:ff,00:f0:b6:84:c3:41,10.0.0.203,10.0.0.62,2,1887,0,2,9,192357,1,641
9,9,4294967291,00:fd:42:6f:80:9b,00:db:5e:00:f2:99,ff:ff:ff:ff:ff:ff,00:d7:ea:ea:08:69,10.0.0.18,10.0.0.48,1,1768,0,5,50,263469,1,1329
2,3,4294967291,00:48:38:2d:fb:fc,00:3b:5c:f3:57:b6,ff:ff:ff:ff:ff:ff,00:96:fc:fa:df:09,10.0.0.50,10.0.0.93,1,1830,0,2,78,168090,1,1091
9,7,4294967291,00:de:2d:a2:fb:94,00:bb:3b:a8:2a:7c,ff:ff:ff:ff:ff:ff,00:30:dc:6a:6c:49,10.0.0.199,10.0.0.59,2,1190,0,1,13,292573,1,1466
2,10,4294967291,00:ef:df:d9:9d:a1,00:8d:42:fd:ab:31,ff:ff:ff:ff:ff:ff,00:65:f3:15:7e:99,10.0.0.74,10.0.0.218,1,1876,1,4,37,254682,1,1342
4,1,4294967291,00:ce:a4:4d:ae:32,00:52:cd:c2:5c:cf,ff:ff:ff:ff:ff:ff,00:16:76:29:8c:17,10.0.0.186,10.0.0.70,1,1864,2,1,61,297010,1,1103
1,8,4294967291,00:2e:b4:e5:2e:c4,00:9e:cd:6d:37:b7,ff:ff:ff:ff:ff:ff,00:f5:63:f3:af:9e,10.0.0.53,10.0.0.24,1,1701,2,10,61,214080,1,1333
8,9,4294967291,00:8e:13:e2:9c:f6,00:e3:e9:f3:ee:14,ff:ff:ff:ff:ff:ff,00:ab:88:4e:f8:48,10.0.0.126,10.0.0.177,2,1760,1,6,52,238804,1,701
7,6,4294967291,00:b6:35:de:4d:0c,00:9f:57:5a:a2:77,ff:ff:ff:ff:ff:ff,00:1e:8c:4d:04:83,10.0.0.57,10.0.0.222,2,1332,1,7,61,229985,1,836
6,6,4294967291,00:89:bd:9e:85:88,00:81:a6:f1:8a:80,ff:ff:ff:ff:ff:ff,00:f1:c0:e0:76:34,10.0.0.241,10.0.0.205,2,1116,0,6,47,290731,1,1022
8,10,4294967291,00:63:83:f3:a5:0b,00:72:9c:c1:92:61,ff:ff:ff:ff:ff:ff,00:52:62:b1:f7:1f,10.0.0.224,10.0.0.154,1,1169,1,8,39,285437,1,1422
8,3,4294967291,00:7e:97:6d:b2:a5,00:c7:b3:73:14:fa,ff:ff:ff:ff:ff:ff,00:57:db:af:b7:22,10.0.0.39,10.0.0.223,1,1717,2,6,15,237824,1,700
7,2,4294967291,00:83:2c:78:4a:ad,00:da:d3:fe:e7:a1,ff:ff:ff:ff:ff:ff,00:ac:a5:53:cc:f8,10.0.0.150,10.0.0.90,1,1101,1,6,74,248323,1,1105
9,7,4294967291,00:67:54:e4:e1:b9,00:05:d8:86:8f:fa,ff:ff:ff:ff:ff:ff,00:13:96:ca:e6:5b,10.0.0.240,10.0.0.200,2,1860,1,0,75,107305,1,1019
9,5,4294967291,00:ba:05:80:99:49,00:57:f0:10:b6:d3,ff:ff:ff:ff:ff:ff,00:18:c4:fd:9a:77,10.0.0.95,10.0.0.95,2,1752,2,6,46,247717,1,623
5,2,4294967291,00:53:94:35:95:ff,00:ca:56:5d:85:2e,ff:ff:ff:ff:ff:ff,00:10:41:d4:6c:89,10.0.0.200,10.0.0.252,1,1758,2,10,79,263951,1,973
6,10,4294967291,00:1f:af:fc:af:ae,00:6d:7c:2e:44:ff,ff:ff:ff:ff:ff:ff,00:5d:bf:fa:96:f4,10.0.0.77,10.0.0.60,1,1388,0,5,100,163537,1,574
1,9,4294967291,00:7e:e1:de:b5:7e,00:25:0c:3f:66:ef,ff:ff:ff:ff:ff:ff,00:04:d2:aa:51:41,10.0.0.192,10.0.0.217,1,1505,1,3,97,123157,1,716
3,2,4294967291,00:57:4b:87:53:57,00:6d:a1:c8:48:7f,ff:ff:ff:ff:ff:ff,00:39:aa:38:01:31,10.0.0.66,10.0.0.1,2,1036,0,2,18,206458,1,803
1,7,4294967291,00:9f:71:2e:61:e0,00:c3:d2:2b:ed:ea,ff:ff:ff:ff:ff:ff,00:bd:3d:5c:21:b2,10.0.0.65,10.0.0.184,1,1940,0,1,64,102686,1,1185
1,10,4294967291,00:5d:f4:7e:57:a8,00:e7:8d:8c:19:d4,ff:ff:ff:ff:ff:ff,00:2a:39:7c:cc:05,10.0.0.162,10.0.0.206,2,1489,1,5,66,234933,1,884
10,10,4294967291,00:ef:5a:82:c2:9e,00:2d:42:0f:d7:d8,ff:ff:ff:ff:ff:ff,00:c5:57:cb:00:8d,10.0.0.5,10.0.0.121,1,1063,1,6,79,255968,1,1134
2,3,4294967291,00:3b:a5:f0:f3:16,00:6a:04:6e:fb:d8,ff:ff:ff:ff:ff:ff,00:26:e0:ad:31:10,10.0.0.45,10.0.0.113,2,1240,0,0,54,290125,1,1277
2,6,4294967291,00:8f:29:bd:88:0d,00:d6:cf:05:ae:d3,ff:ff:ff:ff:ff:ff,00:84:af:e3:90:af,10.0.0.249,10.0.0.100,1,1124,2,5,45,196323,1,690
4,7,4294967291,00:d4:c6:db:06:c5,00:73:17:53:99:a6,ff:ff:ff:ff:ff:ff,00:58:25:14:0e:c8,10.0.0.90,10.0.0.194,1,1943,0,0,22,243327,1,1277
9,5,4294967291,00:48:8b:e9:10:11,00:31:df:e2:cb:c4,ff:ff:ff:ff:ff:ff,00:84:1b:a7:79:5c,10.0.0.160,10.0.0.213,2,1596,0,3,62,249998,1,744
6,3,4294967291,00:25:1f:87:d7:e0,00:8b:3a:03:43:2c,ff:ff:ff:ff:ff:ff,00:9c:50:75:3a:c4,10.0.0.152,10.0.0.196,1,1972,2,4,63,268983,1,1009
5,2,4294967291,00:64:52:af:8b:32,00:d4:8f:94:08:42,ff:ff:ff:ff:ff:ff,00:c3:c0:62:ca:61,10.0.0.166,10.0.0.237,1,1898,0,1,89,297003,1,1011
1,7,4294967291,00:d6:18:b7:0c:e2,00:29:5f:0d:91:97,ff:ff:ff:ff:ff:ff,00:97:88:d5:c0:d8,10.0.0.96,10.0.0.131,2,1894,1,9,64,228746,1,942
